Frame ID,QR id,QR 2D,QR 3D
19,15,"(525, 20),(618, 5),(630, 99),(538, 116)","dist: 2.1185166962471884, yaw: -173.94660706715527, pitch: -4.417123837002793, roll: -10.035936521533635"
19,17,"(186, 105),(253, 78),(281, 133),(216, 170)","dist: 2.6235193534804733, yaw: 161.79266373121783, pitch: -1.8135970491772921, roll: -25.940914249931435"
20,15,"(518, 54),(610, 40),(622, 133),(531, 148)","dist: 2.1255511682091366, yaw: -176.08447068586602, pitch: -4.641350461201297, roll: -9.24018715346963"
20,17,"(181, 135),(248, 109),(274, 165),(211, 199)","dist: 2.6886655519801113, yaw: -150.35624454103348, pitch: -4.181809094007415, roll: -25.511792200973858"
21,15,"(498, 85),(589, 70),(602, 161),(512, 176)","dist: 2.153453481514714, yaw: -177.0210766707966, pitch: -2.2507999509460883, roll: -9.43822292669477"
22,15,"(493, 88),(583, 72),(598, 162),(507, 179)","dist: 2.156162891094754, yaw: -176.93268599027934, pitch: -1.179446657363298, roll: -10.16475825770491"
23,15,"(489, 104),(579, 87),(594, 177),(505, 195)","dist: 2.1434604344233232, yaw: -175.53735265102347, pitch: -3.5639356513606613, roll: -11.156766956816911"
24,15,"(483, 119),(573, 102),(589, 191),(500, 208)","dist: 2.1664936747317114, yaw: -179.09300979256506, pitch: -0.8033286326645254, roll: -10.756509771110933"
25,15,"(484, 121),(574, 104),(589, 193),(501, 210)","dist: 2.1694732795408185, yaw: -177.2281896064597, pitch: -1.703619446334289, roll: -10.896447695067145"
26,15,"(482, 127),(570, 110),(586, 199),(498, 216)","dist: 2.167464155650076, yaw: -177.52227975066248, pitch: -3.7648792099383144, roll: -10.989306753120097"
27,15,"(481, 131),(570, 114),(586, 202),(497, 219)","dist: 2.188491627645286, yaw: -178.37821860990954, pitch: 0.9110122013726036, roll: -10.714078022202548"
28,15,"(509, 113),(598, 103),(607, 193),(519, 203)","dist: 2.182866145763404, yaw: -178.40541387481613, pitch: -4.912128080896486, roll: -6.648567689197965"
28,1,"(4, 19),(77, 21),(93, 92),(19, 95)","dist: 2.6439111431102154, yaw: 173.769662788847, pitch: -36.91822087788676, roll: -8.809026075281626"
28,17,"(179, 154),(250, 134),(270, 186),(205, 216)","dist: 2.656061580635473, yaw: 153.62418406149487, pitch: -6.523126438307678, roll: -20.7197296692466"
29,15,"(539, 86),(628, 83),(631, 174),(541, 175)","dist: 2.2117474580212333, yaw: 178.52293635342718, pitch: -3.2113007054328158, roll: -1.3638158876971416"
29,17,"(205, 98),(277, 84),(293, 139),(227, 164)","dist: 2.6859259596216396, yaw: 159.07994177541156, pitch: -5.405976131057462, roll: -16.325012184122794"
30,15,"(559, 71),(650, 72),(647, 165),(555, 163)","dist: 2.1832895041911033, yaw: -177.42164727485877, pitch: -2.986780417828228, roll: 0.9347007848711945"
30,17,"(224, 74),(296, 61),(311, 117),(241, 141)","dist: 2.6332866299163484, yaw: -140.5586603391511, pitch: -1.7787299622028347, roll: -14.988082635333114"
31,15,"(552, 69),(643, 72),(638, 164),(547, 161)","dist: 2.1890720998955504, yaw: -177.1238777274768, pitch: -3.1211733272984663, roll: 1.8260029899862251"
32,15,"(527, 63),(618, 67),(612, 159),(523, 156)","dist: 2.164602944030763, yaw: -176.673380589486, pitch: -5.847430850638334, roll: 1.6802765407525773"
33,15,"(522, 66),(613, 69),(608, 161),(518, 158)","dist: 2.172505411381175, yaw: -177.18019707466604, pitch: -3.942696495835371, roll: 1.6485328355697118"
34,15,"(512, 65),(603, 69),(598, 161),(508, 158)","dist: 2.1521482663760385, yaw: -177.73362860049627, pitch: -5.243482755555795, roll: 1.7799075638689175"
35,15,"(510, 66),(601, 71),(595, 161),(505, 158)","dist: 2.1830628662344087, yaw: -177.49183605435886, pitch: -2.568856297647811, roll: 2.4803866142872115"
36,15,"(496, 65),(586, 70),(580, 162),(490, 157)","dist: 2.154879608132206, yaw: -177.78363408137625, pitch: -4.979532572325904, roll: 2.7819634115293006"
37,15,"(493, 65),(583, 70),(577, 162),(487, 157)","dist: 2.1534927453993764, yaw: -177.74252528756838, pitch: -4.973475443405541, roll: 2.780233948553237"
38,15,"(481, 68),(571, 74),(565, 165),(476, 160)","dist: 2.1508161370076753, yaw: -179.13294511494848, pitch: -5.843057930428929, roll: 2.9523537704547214"
38,17,"(146, 57),(219, 46),(236, 108),(164, 127)","dist: 2.6360800142852954, yaw: 165.14638491957172, pitch: -10.12755491943821, roll: -13.50002745864632"
39,15,"(473, 70),(564, 75),(559, 166),(469, 162)","dist: 2.1444186990543748, yaw: -179.74186918844222, pitch: -4.064478335886513, roll: 2.530103239908907"
40,15,"(467, 70),(558, 76),(552, 167),(463, 162)","dist: 2.1395903684121196, yaw: -179.9570192129053, pitch: -5.330103624572907, roll: 2.9517421288375774"
41,15,"(467, 72),(557, 77),(553, 168),(463, 164)","dist: 2.1385019440928645, yaw: 179.48167780287682, pitch: -5.388605932820742, roll: 2.4065480636332017"
42,15,"(464, 75),(555, 80),(550, 171),(460, 166)","dist: 2.144669686053936, yaw: 178.9069479781646, pitch: -3.2683982492418493, roll: 2.91893787831388"
42,17,"(126, 68),(201, 56),(220, 115),(148, 139)","dist: 2.5854656519824175, yaw: 162.5905191982975, pitch: -11.469004655549659, roll: -15.749416743847572"
43,15,"(461, 75),(551, 80),(546, 171),(457, 167)","dist: 2.141088076407346, yaw: -178.8914264651663, pitch: -5.99164853375629, roll: 2.312436141503736"
44,15,"(451, 76),(541, 81),(536, 173),(447, 168)","dist: 2.1244699539279908, yaw: -179.42972838642103, pitch: -6.973474995511696, roll: 2.477948962227734"
44,17,"(111, 68),(187, 58),(206, 116),(132, 141)","dist: 2.55210119410228, yaw: 161.44119147215017, pitch: -12.042889570344395, roll: -15.227819462506881"
