Frame ID,QR id,QR 2D,QR 3D
12,1,"[(245.0, 156.0), (286.0, 154.0), (285.0, 194.0), (245.0, 194.0)]","dist: 4.53, yaw: 119.68, pitch: -59.24, roll: 24.46"
13,1,"[(210.0, 140.0), (253.0, 139.0), (255.0, 181.0), (214.0, 182.0)]","dist: 37.46, yaw: -103.56, pitch: 30.36, roll: 149.58"
14,1,"[(207.0, 128.0), (251.0, 127.0), (252.0, 170.0), (208.0, 170.0)]","dist: 62.59, yaw: -114.54, pitch: 77.29, roll: -167.78"
15,1,"[(229.0, 152.0), (273.0, 154.0), (273.0, 199.0), (227.0, 197.0)]","dist: 50.31, yaw: -113.97, pitch: 10.22, roll: 71.07"
16,1,"[(184.0, 148.0), (232.0, 150.0), (229.0, 198.0), (182.0, 196.0)]","dist: 85.65, yaw: -70.47, pitch: 12.89, roll: -72.95"
17,1,"[(16.0, 162.0), (76.0, 168.0), (72.0, 224.0), (11.0, 220.0)]","dist: 65.87, yaw: 8.91, pitch: -39.60, roll: 152.78"
18,1,"[(90.0, 160.0), (151.0, 165.0), (147.0, 223.0), (87.0, 219.0)]","dist: 16.29, yaw: -24.50, pitch: 48.51, roll: 169.58"
19,1,"[(95.0, 155.0), (153.0, 160.0), (149.0, 219.0), (90.0, 216.0)]","dist: 7.06, yaw: -75.16, pitch: -56.33, roll: 159.94"
20,1,"[(91.0, 172.0), (151.0, 178.0), (145.0, 237.0), (85.0, 233.0)]","dist: 64.24, yaw: 40.27, pitch: -31.74, roll: -9.28"
21,1,"[(94.0, 176.0), (156.0, 183.0), (150.0, 241.0), (89.0, 237.0)]","dist: 2.65, yaw: -129.78, pitch: -13.42, roll: 130.34"
22,1,"[(129.0, 192.0), (190.0, 199.0), (182.0, 256.0), (122.0, 251.0)]","dist: 58.58, yaw: -74.83, pitch: 1.37, roll: 124.04"
23,1,"[(135.0, 197.0), (195.0, 203.0), (189.0, 262.0), (128.0, 257.0)]","dist: 94.02, yaw: -48.11, pitch: -46.37, roll: -65.12"
24,1,"[(147.0, 207.0), (209.0, 212.0), (203.0, 272.0), (141.0, 269.0)]","dist: 57.55, yaw: -15.81, pitch: -69.33, roll: 118.41"
25,1,"[(157.0, 199.0), (221.0, 204.0), (215.0, 264.0), (152.0, 260.0)]","dist: 38.82, yaw: 102.66, pitch: 19.91, roll: -166.68"
