Frame ID,QR id,QR 2D,QR 3D
7,1,"(138, 114),(419, 87),(416, 407),(127, 397)","dist: 0.6263935603206062, yaw: 171.3991760181535, pitch: 19.307952181556537, roll: -1.8872029516373972"
19,17,"(186, 359),(186, 351),(193, 351),(189, 358)","dist: 24.435457452186395, yaw: -120.56824302288058, pitch: 6.84659593009265, roll: -74.59139091788245"
20,17,"(186, 359),(186, 351),(193, 351),(189, 358)","dist: 24.435457452186395, yaw: -120.56824302288058, pitch: 6.84659593009265, roll: -74.59139091788245"
29,1,"(202, 190),(433, 185),(434, 429),(192, 409)","dist: 0.809851979662956, yaw: 171.33479516696318, pitch: 9.170882985078327, roll: 0.4953189168316719"
30,1,"(202, 190),(433, 185),(434, 429),(192, 409)","dist: 0.809851979662956, yaw: 171.33479516696318, pitch: 9.170882985078327, roll: 0.4953189168316719"
31,1,"(218, 182),(444, 180),(444, 418),(212, 408)","dist: 0.8228434528684939, yaw: 175.95116774709038, pitch: 10.577804243420877, roll: 0.21256793269358587"
32,1,"(218, 182),(444, 180),(444, 418),(212, 408)","dist: 0.8228434528684939, yaw: 175.95116774709038, pitch: 10.577804243420877, roll: 0.21256793269358587"
33,1,"(230, 181),(455, 174),(460, 410),(230, 402)","dist: 0.8314722816713472, yaw: 178.5512906740477, pitch: 11.460877983094631, roll: -0.6817012045389401"
34,1,"(248, 174),(468, 173),(471, 408),(234, 399)","dist: 0.8250958341003731, yaw: 168.18102495623106, pitch: 9.38599801517536, roll: 0.18985982485580014"
35,1,"(254, 175),(477, 173),(482, 407),(248, 404)","dist: 0.8291194367982982, yaw: 171.95410698022155, pitch: 6.682719530666948, roll: -0.33894621898989996"
36,1,"(262, 179),(486, 174),(490, 409),(263, 391)","dist: 0.8375166096149864, yaw: -173.66284585059748, pitch: 15.714812402316676, roll: 0.8032144029582997"
37,1,"(274, 179),(495, 175),(498, 406),(262, 393)","dist: 0.8370697689194015, yaw: 164.44500151538762, pitch: 9.03654381635148, roll: 0.20565688484563396"
38,1,"(274, 179),(495, 175),(498, 406),(262, 393)","dist: 0.8370697689194015, yaw: 164.44500151538762, pitch: 9.03654381635148, roll: 0.20565688484563396"
40,1,"(298, 182),(513, 177),(512, 404),(296, 390)","dist: 0.8773061522043087, yaw: 179.72406550093754, pitch: 16.895316979556856, roll: 0.36615086307095585"
41,1,"(306, 184),(520, 180),(522, 406),(304, 392)","dist: 0.8797170403180419, yaw: -179.8934525899676, pitch: 16.583422257567747, roll: 0.24899382810048565"
42,1,"(306, 184),(520, 180),(522, 406),(304, 392)","dist: 0.8797170403180419, yaw: -179.8934525899676, pitch: 16.583422257567747, roll: 0.24899382810048565"
43,1,"(312, 186),(525, 183),(528, 408),(310, 394)","dist: 0.8829942599897715, yaw: -179.67811483396054, pitch: 16.734800703555045, roll: 0.24422455022687092"
44,1,"(319, 193),(534, 192),(538, 415),(317, 399)","dist: 0.8839441682289041, yaw: -176.49949214711398, pitch: 15.51109525301479, roll: 0.6712231891864232"
45,1,"(319, 193),(534, 192),(538, 415),(317, 399)","dist: 0.8839441682289041, yaw: -176.49949214711398, pitch: 15.51109525301479, roll: 0.6712231891864232"
46,1,"(327, 200),(544, 199),(546, 424),(324, 407)","dist: 0.8813254309137588, yaw: -177.797213979864, pitch: 15.507906253881671, roll: 0.7644123867590653"
47,1,"(327, 200),(544, 199),(546, 424),(324, 407)","dist: 0.8813254309137588, yaw: -177.797213979864, pitch: 15.507906253881671, roll: 0.7644123867590653"
48,1,"(341, 209),(557, 212),(560, 435),(341, 414)","dist: 0.8831632727885932, yaw: -172.4901273858839, pitch: 19.195226074911222, roll: 1.4311237560193077"
49,1,"(341, 209),(557, 212),(560, 435),(341, 414)","dist: 0.8831632727885932, yaw: -172.4901273858839, pitch: 19.195226074911222, roll: 1.4311237560193077"
50,1,"(341, 209),(557, 212),(560, 435),(341, 414)","dist: 0.8831632727885932, yaw: -172.4901273858839, pitch: 19.195226074911222, roll: 1.4311237560193077"
98,1,"(239, 110),(480, 96),(470, 381),(218, 365)","dist: 0.7035750046720565, yaw: 172.08384046768657, pitch: 26.18433141836034, roll: 0.1121798814460372"
99,1,"(239, 110),(480, 96),(470, 381),(218, 365)","dist: 0.7035750046720565, yaw: 172.08384046768657, pitch: 26.18433141836034, roll: 0.1121798814460372"
100,1,"(212, 108),(482, 90),(473, 398),(199, 375)","dist: 0.6584546738487662, yaw: 174.86990642355354, pitch: 22.297322464871176, roll: 0.4098571299051372"
101,1,"(212, 108),(482, 90),(473, 398),(199, 375)","dist: 0.6584546738487662, yaw: 174.86990642355354, pitch: 22.297322464871176, roll: 0.4098571299051372"
102,1,"(213, 109),(482, 93),(475, 399),(199, 375)","dist: 0.6617780640555843, yaw: 175.03702356623825, pitch: 21.292674160480107, roll: 0.5686578471278413"
