Frame ID,QR id,QR 2D,QR 3D
16,1,"(174, 127),(300, 147),(288, 261),(162, 251)","dist: 1.5204565787677997, yaw: 164.74641675626617, pitch: -9.674185983524637, roll: 6.682049878860791"
17,1,"(174, 127),(300, 147),(288, 261),(162, 251)","dist: 1.5204565787677997, yaw: 164.74641675626617, pitch: -9.674185983524637, roll: 6.682049878860791"
18,1,"(174, 127),(300, 147),(288, 261),(162, 251)","dist: 1.5204565787677997, yaw: 164.74641675626617, pitch: -9.674185983524637, roll: 6.682049878860791"
19,1,"(174, 127),(300, 147),(288, 261),(162, 251)","dist: 1.5204565787677997, yaw: 164.74641675626617, pitch: -9.674185983524637, roll: 6.682049878860791"
20,1,"(169, 119),(294, 133),(284, 257),(160, 249)","dist: 1.5034378894284521, yaw: -178.98766669325917, pitch: -18.393808626592953, roll: 4.143756000677797"
21,1,"(169, 119),(294, 133),(284, 257),(160, 249)","dist: 1.5034378894284521, yaw: -178.98766669325917, pitch: -18.393808626592953, roll: 4.143756000677797"
22,1,"(169, 119),(294, 133),(284, 257),(160, 249)","dist: 1.5034378894284521, yaw: -178.98766669325917, pitch: -18.393808626592953, roll: 4.143756000677797"
23,1,"(144, 131),(274, 137),(265, 261),(132, 259)","dist: 1.4520563282321708, yaw: 164.83762517148395, pitch: 2.819318454646738, roll: 1.9844566998987694"
24,1,"(144, 131),(274, 137),(265, 261),(132, 259)","dist: 1.4520563282321708, yaw: 164.83762517148395, pitch: 2.819318454646738, roll: 1.9844566998987694"
25,1,"(144, 131),(274, 137),(265, 261),(132, 259)","dist: 1.4520563282321708, yaw: 164.83762517148395, pitch: 2.819318454646738, roll: 1.9844566998987694"
26,1,"(104, 163),(240, 153),(246, 281),(110, 288)","dist: 1.4374831536897452, yaw: 163.30062636859677, pitch: -4.051241390964111, roll: -3.824275601571091"
27,1,"(104, 163),(240, 153),(246, 281),(110, 288)","dist: 1.4374831536897452, yaw: 163.30062636859677, pitch: -4.051241390964111, roll: -3.824275601571091"
28,1,"(104, 163),(240, 153),(246, 281),(110, 288)","dist: 1.4374831536897452, yaw: 163.30062636859677, pitch: -4.051241390964111, roll: -3.824275601571091"
29,1,"(98, 167),(238, 166),(244, 305),(102, 315)","dist: 1.3423165801584505, yaw: -179.40519563357847, pitch: -22.990057448768074, roll: -2.262289485558946"
30,1,"(98, 167),(238, 166),(244, 305),(102, 315)","dist: 1.3423165801584505, yaw: -179.40519563357847, pitch: -22.990057448768074, roll: -2.262289485558946"
31,1,"(88, 182),(236, 177),(242, 313),(96, 325)","dist: 1.3352344807952803, yaw: -166.06098541256281, pitch: -11.360719813178905, roll: -3.3985292367880873"
32,1,"(88, 182),(236, 177),(242, 313),(96, 325)","dist: 1.3352344807952803, yaw: -166.06098541256281, pitch: -11.360719813178905, roll: -3.3985292367880873"
33,1,"(82, 181),(232, 178),(240, 315),(90, 328)","dist: 1.3130410037423956, yaw: 166.50876299518572, pitch: -12.046488716220635, roll: -2.7850968251946018"
34,1,"(82, 181),(232, 178),(240, 315),(90, 328)","dist: 1.3130410037423956, yaw: 166.50876299518572, pitch: -12.046488716220635, roll: -2.7850968251946018"
35,1,"(80, 182),(233, 178),(241, 317),(90, 329)","dist: 1.2955713028255016, yaw: -165.01744588233615, pitch: -8.456178870648522, roll: -3.1892274392935684"
36,1,"(80, 182),(233, 178),(241, 317),(90, 329)","dist: 1.2955713028255016, yaw: -165.01744588233615, pitch: -8.456178870648522, roll: -3.1892274392935684"
37,1,"(85, 181),(236, 178),(247, 319),(92, 331)","dist: 1.2790623986853153, yaw: 165.23549396466944, pitch: -13.170393596480618, roll: -2.5717020187458117"
38,1,"(91, 182),(243, 180),(254, 323),(97, 333)","dist: 1.2620749767929167, yaw: 164.2915828273896, pitch: -13.611478931034089, roll: -1.9827848652692266"
39,1,"(91, 182),(243, 180),(254, 323),(97, 333)","dist: 1.2620749767929167, yaw: 164.2915828273896, pitch: -13.611478931034089, roll: -1.9827848652692266"
40,1,"(97, 184),(251, 182),(261, 324),(105, 334)","dist: 1.258137323110183, yaw: 163.0017152763247, pitch: -13.409349365444001, roll: -1.9966077474746768"
41,1,"(105, 187),(262, 184),(271, 330),(119, 341)","dist: 1.2492908385930965, yaw: -167.988019753526, pitch: -2.107670104938212, roll: -2.878129777067368"
42,1,"(117, 188),(275, 185),(287, 331),(127, 343)","dist: 1.2160172828705234, yaw: 162.8070328375799, pitch: -13.013006270281014, roll: -2.3923771967126664"
43,1,"(126, 186),(285, 185),(300, 330),(138, 348)","dist: 1.1933279988180767, yaw: 163.8255356942815, pitch: -15.229228150618006, roll: -2.8097920703296144"
44,1,"(134, 190),(295, 187),(314, 333),(150, 352)","dist: 1.1708886411333157, yaw: 161.05779148280587, pitch: -15.70697991749299, roll: -3.3404656260476253"
45,1,"(154, 187),(315, 187),(330, 334),(164, 351)","dist: 1.1658151666650636, yaw: 161.76708531638295, pitch: -12.804609235149941, roll: -2.35008723978279"
46,1,"(173, 189),(331, 187),(346, 335),(186, 350)","dist: 1.188247092066831, yaw: 164.84007981651968, pitch: -13.973165802396554, roll: -2.5884895647077197"
49,1,"(210, 185),(369, 184),(385, 336),(231, 351)","dist: 1.1629496902576386, yaw: 167.60447922372893, pitch: -19.451673798021385, roll: -2.636563043841894"
50,1,"(229, 186),(377, 183),(393, 334),(244, 348)","dist: 1.2017786634897984, yaw: 171.7826641390973, pitch: -20.927394699286452, roll: -2.797206596994896"
51,1,"(243, 183),(390, 181),(406, 332),(256, 346)","dist: 1.1987947831704606, yaw: 172.17395799506951, pitch: -20.569799591031767, roll: -2.5657221534363117"
74,1,"(270, 177),(442, 168),(454, 343),(280, 356)","dist: 1.076528108961058, yaw: 178.5517969156224, pitch: -9.334597258433657, roll: -3.3369087801442014"
