Frame,Marker ID,2D Coordinates,Distance,Yaw,Pitch,Roll
1082,0,"[[[63.0, 69.0], [88.0, 62.0], [96.0, 96.0], [72.0, 104.0]]]",4.267469545267275,-126.20891645235072,-53.210184528953675,-50.22029006688155
1083,0,"[[[68.0, 71.0], [93.0, 63.0], [100.0, 98.0], [76.0, 107.0]]]",4.098470450158179,-120.74380897790425,-53.190739851821,-52.95190445894457
1084,0,"[[[73.0, 72.0], [98.0, 64.0], [106.0, 98.0], [81.0, 107.0]]]",4.20375030069816,-124.5995876692109,-51.06969218485721,-49.495064111898294
1085,0,"[[[78.0, 73.0], [104.0, 64.0], [110.0, 99.0], [87.0, 108.0]]]",4.114793677073978,-121.31467348032778,-51.58021576831235,-51.88605368193244
1086,0,"[[[81.0, 73.0], [107.0, 64.0], [112.0, 99.0], [89.0, 108.0]]]",4.093830740924897,-119.40488098479803,-51.67525462412546,-51.911730838896084
1087,0,"[[[81.0, 72.0], [107.0, 63.0], [112.0, 99.0], [88.0, 107.0]]]",4.052973352996475,-119.86952192439462,-52.29775378034276,-50.82130973080018
1088,0,"[[[82.0, 73.0], [107.0, 65.0], [112.0, 101.0], [88.0, 108.0]]]",4.079359023261061,-176.0155815598218,28.658571210536547,-5.198585937321129
1089,0,"[[[83.0, 74.0], [108.0, 65.0], [114.0, 101.0], [90.0, 109.0]]]",4.057100430962315,-176.26706515861858,28.71831727676607,-6.986826270264616
1090,0,"[[[85.0, 74.0], [111.0, 66.0], [116.0, 101.0], [92.0, 109.0]]]",4.113578730443825,-122.23562154849219,-52.278925852539516,-48.959329021614174
1091,0,"[[[87.0, 74.0], [113.0, 65.0], [118.0, 100.0], [94.0, 108.0]]]",4.146012736225257,-121.54850793207551,-50.90014024094512,-48.796051192319894
1092,0,"[[[89.0, 72.0], [115.0, 64.0], [119.0, 99.0], [95.0, 107.0]]]",4.091245837629486,-120.23755821600128,-52.25184557324186,-48.99396440142792
1093,0,"[[[91.0, 70.0], [116.0, 62.0], [121.0, 97.0], [98.0, 105.0]]]",4.121107362244018,-120.75736174613509,-53.068312406396814,-51.12824185503346
1094,0,"[[[95.0, 68.0], [120.0, 61.0], [124.0, 96.0], [100.0, 103.0]]]",4.124867699779323,-121.22975732355623,-53.7361169235938,-48.43651338376502
1095,0,"[[[99.0, 67.0], [123.0, 61.0], [129.0, 93.0], [104.0, 101.0]]]",4.370677615838356,-125.91604347825019,-50.703125979461056,-44.73932115049261
1096,0,"[[[105.0, 66.0], [130.0, 62.0], [135.0, 92.0], [110.0, 99.0]]]",4.602699286870844,-132.3831140414199,-48.85429997571906,-37.8644873996601
1097,0,"[[[111.0, 65.0], [135.0, 61.0], [140.0, 92.0], [116.0, 99.0]]]",4.471536685935455,-130.12434212660534,-52.019843847000395,-41.72323301519579
1098,0,"[[[116.0, 66.0], [140.0, 62.0], [144.0, 94.0], [121.0, 101.0]]]",4.327891575510233,-127.35489531573995,-54.16461079978841,-44.39604771523034
1099,0,"[[[119.0, 68.0], [144.0, 61.0], [147.0, 95.0], [124.0, 102.0]]]",4.196070385075664,-122.58246285293016,-52.202216797815446,-46.319935162399894
1100,0,"[[[122.0, 70.0], [147.0, 64.0], [150.0, 98.0], [127.0, 105.0]]]",4.149438336015629,-124.02317368900542,-53.44032582399775,-45.88743814385246
1101,0,"[[[126.0, 73.0], [150.0, 66.0], [153.0, 101.0], [130.0, 107.0]]]",4.133434127071168,-176.92216820683254,30.919942154318626,-3.0322930367265117
1102,0,"[[[128.0, 76.0], [153.0, 69.0], [156.0, 104.0], [133.0, 110.0]]]",4.131567182538763,-176.23898558971877,29.89990659792277,-3.3949727154814737
1103,0,"[[[131.0, 80.0], [155.0, 72.0], [159.0, 107.0], [136.0, 114.0]]]",4.097589233809238,-177.39182797460046,31.200536556305572,-5.073690102916673
1104,0,"[[[134.0, 85.0], [158.0, 77.0], [162.0, 112.0], [139.0, 119.0]]]",4.084091699681112,-177.5343864862783,31.3446654965058,-5.203741397797014
1105,0,"[[[137.0, 91.0], [161.0, 83.0], [165.0, 119.0], [142.0, 125.0]]]",4.030666008715477,-176.31644166924625,32.0714657644395,-4.142497520085151
1106,0,"[[[140.0, 97.0], [164.0, 90.0], [167.0, 125.0], [145.0, 132.0]]]",4.012222234095902,-124.04160600482102,-55.491272488907484,-47.739986364067036
